,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
8347,Standard Class,Home Office,San Miguelito,Panama,Office Supplies,Envelopes,entre 1 y 2,0.4,Medium,November,12.688
8348,Standard Class,Consumer,London,United Kingdom,Office Supplies,Binders,entre 1 y 2,0.1,Medium,August,9.792
8349,Standard Class,Corporate,Jakarta,Indonesia,Office Supplies,Labels,entre 3 y 4,0.47,Medium,November,4.061314285714286
8350,Standard Class,Consumer,Bangkok,Thailand,Office Supplies,Binders,entre 1 y 2,0.17,Medium,June,6.839200000000001
8351,Standard Class,Consumer,Perth,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Medium,June,11.124
8352,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Binders,entre 3 y 4,0.17,Medium,May,4.119171428571429
8353,Second Class,Consumer,Riyadh,Saudi Arabia,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,December,7.3
8354,First Class,Consumer,Cairo,Egypt,Furniture,Chairs,entre 1 y 2,0.0,High,September,78.12
8355,Standard Class,Corporate,Lagos,Nigeria,Office Supplies,Supplies,entre 1 y 2,0.7,High,February,6.27
8356,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Storage,entre 1 y 2,0.2,Medium,November,10.922666666666666
8357,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Binders,entre 7 y 8,0.2,Medium,May,3.345066666666667
8358,Second Class,Consumer,Buenos Aires,Argentina,Office Supplies,Labels,entre 3 y 4,0.4,Medium,January,2.784
8359,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Fasteners,entre 3 y 4,0.0,Medium,April,7.885714285714286
8360,Standard Class,Corporate,Santo Domingo,Dominican Republic,Office Supplies,Fasteners,entre 3 y 4,0.2,Medium,September,5.211428571428571
8361,Standard Class,Home Office,Tegucigalpa,Honduras,Office Supplies,Art,entre 1 y 2,0.4,Medium,May,6.944
8362,Second Class,Consumer,San Salvador,El Salvador,Office Supplies,Labels,entre 3 y 4,0.0,Medium,March,5.434285714285714
8363,Standard Class,Corporate,Rome,Italy,Furniture,Chairs,entre 1 y 2,0.6,Medium,February,31.567999999999998
8364,Second Class,Consumer,Stockholm,Sweden,Office Supplies,Fasteners,entre 1 y 2,0.5,Medium,January,9.68
8365,Standard Class,Home Office,Ho Chi Minh City,Vietnam,Office Supplies,Fasteners,entre 1 y 2,0.17,Medium,May,7.7854
8366,Standard Class,Home Office,Jakarta,Indonesia,Office Supplies,Supplies,entre 1 y 2,0.47,High,December,24.486
8367,Standard Class,Home Office,Baghdad,Iraq,Office Supplies,Binders,entre 1 y 2,0.0,Medium,December,9.12
8368,Standard Class,Home Office,Baghdad,Iraq,Furniture,Furnishings,entre 1 y 2,0.0,Medium,December,12.56
8369,Same Day,Consumer,Lagos,Nigeria,Office Supplies,Binders,entre 1 y 2,0.7,Medium,December,6.09
8370,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Labels,entre 1 y 2,0.0,High,November,5.56
8371,Standard Class,Corporate,Riyadh,Saudi Arabia,Office Supplies,Paper,entre 1 y 2,0.0,Medium,November,17.52
8372,Standard Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Furnishings,entre 1 y 2,0.5,Medium,October,11.42
8373,Standard Class,Corporate,Buenos Aires,Argentina,Office Supplies,Storage,entre 5 y 6,0.4,Medium,October,6.0218181818181815
8374,Second Class,Corporate,Istanbul,Turkey,Office Supplies,Binders,entre 1 y 2,0.6,Medium,November,13.152000000000001
8375,Standard Class,Corporate,Lagos,Nigeria,Office Supplies,Art,entre 1 y 2,0.7,Medium,August,7.908
8376,Same Day,Corporate,Lagos,Nigeria,Office Supplies,Appliances,entre 3 y 4,0.7,Medium,November,22.77257142857143
8377,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Fasteners,entre 1 y 2,0.2,Medium,August,9.877333333333334
8378,Standard Class,Consumer,San Pedro Sula,Honduras,Furniture,Furnishings,entre 1 y 2,0.4,High,September,4.68
8379,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Paper,entre 1 y 2,0.47,Medium,August,14.394799999999998
8380,Standard Class,Corporate,Manila,Philippines,Office Supplies,Labels,entre 3 y 4,0.45,Medium,September,6.694285714285714
8381,Standard Class,Corporate,Canberra,Australia,Office Supplies,Fasteners,entre 1 y 2,0.4,Medium,November,6.72
8382,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,March,7.3
8383,Standard Class,Consumer,San Miguelito,Panama,Technology,Accessories,entre 5 y 6,0.4,Medium,June,11.236363636363636
8384,Standard Class,Consumer,Soyapango,El Salvador,Office Supplies,Labels,entre 1 y 2,0.0,Medium,December,8.32
8385,Standard Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Storage,entre 1 y 2,0.2,Medium,October,5.706666666666667
8386,Standard Class,Home Office,Manila,Philippines,Office Supplies,Labels,entre 3 y 4,0.45,Medium,October,4.224
8387,Standard Class,Home Office,Yangon,Myanmar (Burma),Office Supplies,Art,entre 1 y 2,0.17,Medium,January,7.901599999999999
8388,Standard Class,Corporate,Brisbane,Australia,Office Supplies,Fasteners,entre 1 y 2,0.1,Medium,February,8.316
8389,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Labels,entre 1 y 2,0.47,Medium,November,7.4624
8390,Second Class,Home Office,Istanbul,Turkey,Office Supplies,Binders,entre 1 y 2,0.6,High,November,7.68
8391,Standard Class,Corporate,Alexandria,Egypt,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,August,9.0
8392,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Envelopes,entre 3 y 4,0.7,Medium,June,7.230857142857142
8393,Standard Class,Corporate,Buenos Aires,Argentina,Office Supplies,Fasteners,entre 3 y 4,0.4,Medium,December,4.597714285714285
8394,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Binders,entre 1 y 2,0.0,High,June,3.813333333333333
8395,Standard Class,Consumer,São Paulo,Brazil,Office Supplies,Labels,entre 3 y 4,0.0,Medium,April,3.7885714285714287
8396,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Fasteners,entre 3 y 4,0.2,Medium,May,6.24
8397,Second Class,Corporate,Stockholm,Sweden,Office Supplies,Storage,entre 1 y 2,0.5,Medium,August,19.84
8398,Standard Class,Corporate,Paris,France,Office Supplies,Binders,entre 1 y 2,0.0,Medium,July,19.48
8399,Standard Class,Home Office,Singapore,Singapore,Office Supplies,Labels,entre 1 y 2,0.0,Medium,January,11.840000000000002
8400,Same Day,Consumer,Kinshasa,Democratic Republic of the Congo,Office Supplies,Supplies,entre 1 y 2,0.0,High,May,17.64
8401,First Class,Home Office,Lagos,Nigeria,Office Supplies,Supplies,entre 1 y 2,0.7,High,November,2.592
8402,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Art,entre 1 y 2,0.7,Medium,April,4.902
8403,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Fasteners,entre 1 y 2,0.2,Medium,September,9.429333333333334
8404,Standard Class,Home Office,Panama City,Panama,Office Supplies,Art,entre 1 y 2,0.4,Medium,December,14.223999999999998
8405,Standard Class,Home Office,Vienna,Austria,Office Supplies,Labels,entre 3 y 4,0.0,Medium,April,7.714285714285714
8406,Second Class,Corporate,Istanbul,Turkey,Technology,Accessories,entre 1 y 2,0.6,Medium,April,9.959999999999999
8407,First Class,Home Office,Istanbul,Turkey,Office Supplies,Envelopes,entre 1 y 2,0.6,Medium,July,10.68
8408,Standard Class,Consumer,London,Canada,Furniture,Furnishings,entre 1 y 2,0.0,Medium,April,15.94
8409,Second Class,Consumer,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,Medium,December,8.512
8410,Standard Class,Home Office,Istanbul,Turkey,Office Supplies,Binders,entre 1 y 2,0.6,Low,October,4.088
8411,Standard Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Paper,entre 1 y 2,0.4,Medium,November,8.352
8412,Second Class,Corporate,Mixco,Guatemala,Office Supplies,Storage,entre 1 y 2,0.0,Medium,November,7.359999999999999
8413,Standard Class,Consumer,São Paulo,Brazil,Office Supplies,Binders,entre 1 y 2,0.0,High,November,4.266666666666667
8414,Standard Class,Home Office,Tegucigalpa,Honduras,Furniture,Chairs,entre 1 y 2,0.4,Medium,April,43.424
8415,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Fasteners,entre 1 y 2,0.2,Medium,June,9.749333333333334
8416,Standard Class,Consumer,Vienna,Austria,Office Supplies,Binders,entre 1 y 2,0.0,Medium,November,18.68
8417,Standard Class,Corporate,Melbourne,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Medium,December,9.792
8418,Standard Class,Home Office,Manila,Philippines,Office Supplies,Art,entre 1 y 2,0.45,Medium,December,12.165999999999999
8419,Standard Class,Corporate,London,Canada,Office Supplies,Binders,entre 1 y 2,0.0,Low,February,4.08
8420,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Labels,entre 3 y 4,0.0,High,December,4.662857142857143
8421,Standard Class,Consumer,San Miguelito,Panama,Office Supplies,Storage,entre 3 y 4,0.4,High,October,3.6822857142857144
8422,Standard Class,Corporate,San Salvador,El Salvador,Office Supplies,Fasteners,entre 1 y 2,0.0,Low,June,15.173333333333334
8423,Standard Class,Corporate,Panama City,Panama,Office Supplies,Fasteners,entre 1 y 2,0.4,High,December,4.4479999999999995
8424,First Class,Home Office,Managua,Nicaragua,Office Supplies,Labels,entre 1 y 2,0.0,Medium,December,4.226666666666667
8425,Standard Class,Consumer,Rome,Italy,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,August,10.02
8426,Standard Class,Home Office,Stockholm,Sweden,Office Supplies,Binders,entre 3 y 4,0.5,Medium,September,3.4457142857142857
8427,Standard Class,Consumer,Adelaide,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Medium,June,6.66
8428,Second Class,Consumer,Surabaya,Indonesia,Office Supplies,Fasteners,entre 1 y 2,0.47,Critical,October,5.0986
8429,Standard Class,Consumer,Manila,Philippines,Office Supplies,Supplies,entre 1 y 2,0.45,Medium,December,10.581999999999999
8430,Standard Class,Home Office,Bangkok,Thailand,Office Supplies,Labels,entre 5 y 6,0.47,Medium,August,4.076181818181818
8431,Second Class,Consumer,Brisbane,Australia,Office Supplies,Binders,entre 1 y 2,0.1,Medium,February,6.390000000000001
8432,Second Class,Home Office,Alexandria,Egypt,Office Supplies,Storage,entre 1 y 2,0.0,Medium,January,13.44
8433,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,July,8.92
8434,Second Class,Consumer,Lagos,Nigeria,Office Supplies,Art,entre 1 y 2,0.7,High,July,10.152
8435,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,April,18.2
8436,First Class,Corporate,Istanbul,Turkey,Office Supplies,Labels,entre 1 y 2,0.6,Critical,June,2.256
8437,Standard Class,Corporate,Panama City,Panama,Office Supplies,Labels,entre 1 y 2,0.4,High,November,4.3999999999999995
8438,Standard Class,Corporate,Managua,Nicaragua,Office Supplies,Fasteners,entre 3 y 4,0.0,Medium,July,6.582857142857143
8439,Standard Class,Consumer,Santo Domingo,Dominican Republic,Furniture,Furnishings,entre 1 y 2,0.5,Medium,September,8.92
8440,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Fasteners,entre 5 y 6,0.0,Medium,April,5.327272727272727
8441,Second Class,Consumer,San Pedro Sula,Honduras,Office Supplies,Labels,entre 1 y 2,0.4,Critical,March,2.56
8442,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Envelopes,entre 1 y 2,0.47,Medium,November,10.4304
8443,Standard Class,Consumer,Perth,Australia,Office Supplies,Art,entre 1 y 2,0.1,Medium,June,7.3260000000000005
8444,Standard Class,Corporate,Istanbul,Turkey,Technology,Accessories,entre 1 y 2,0.6,Medium,March,10.944
8445,Standard Class,Corporate,Riyadh,Saudi Arabia,Office Supplies,Labels,entre 1 y 2,0.0,Medium,August,10.36
8446,Same Day,Consumer,Istanbul,Turkey,Office Supplies,Storage,entre 1 y 2,0.6,High,September,6.2
8447,Standard Class,Home Office,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,High,August,5.104
8448,Standard Class,Corporate,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,High,November,4.128
8449,Second Class,Corporate,Santo Domingo,Dominican Republic,Furniture,Furnishings,entre 3 y 4,0.5,Medium,August,4.534285714285714
8450,Standard Class,Home Office,Tegucigalpa,Honduras,Office Supplies,Paper,entre 3 y 4,0.4,Medium,April,4.608
8451,Standard Class,Home Office,San Miguelito,Panama,Office Supplies,Labels,entre 3 y 4,0.4,Medium,November,3.065142857142857
8452,Standard Class,Corporate,Santo Domingo,Dominican Republic,Office Supplies,Envelopes,entre 1 y 2,0.2,Medium,August,6.698666666666667
8453,Standard Class,Consumer,San Salvador,El Salvador,Office Supplies,Fasteners,entre 1 y 2,0.0,High,October,5.84
8454,Standard Class,Consumer,Santiago de Cuba,Cuba,Office Supplies,Paper,entre 1 y 2,0.0,Medium,October,9.146666666666667
8455,Second Class,Consumer,Manila,Philippines,Office Supplies,Labels,entre 1 y 2,0.45,Medium,December,8.316
8456,Standard Class,Home Office,Bangkok,Thailand,Office Supplies,Art,entre 5 y 6,0.47,High,June,7.082727272727272
8457,Standard Class,Home Office,Adelaide,Australia,Office Supplies,Fasteners,entre 1 y 2,0.1,Medium,June,10.026
8458,First Class,Consumer,Canberra,Australia,Office Supplies,Labels,entre 1 y 2,0.4,High,August,6.912
8459,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,December,9.200000000000001
8460,Second Class,Corporate,Buenos Aires,Argentina,Office Supplies,Art,entre 1 y 2,0.4,High,November,7.72
8461,Same Day,Consumer,San Pedro Sula,Honduras,Office Supplies,Binders,entre 3 y 4,0.4,High,July,1.830857142857143
8462,Standard Class,Consumer,Tegucigalpa,Honduras,Furniture,Furnishings,entre 1 y 2,0.4,Medium,October,5.04
8463,Standard Class,Consumer,Buenos Aires,Argentina,Office Supplies,Envelopes,entre 3 y 4,0.4,Medium,March,3.085714285714286
8464,Standard Class,Consumer,Berlin,Germany,Office Supplies,Binders,entre 5 y 6,0.1,Medium,April,4.835454545454545
8465,Standard Class,Consumer,Ho Chi Minh City,Vietnam,Office Supplies,Labels,entre 1 y 2,0.17,Medium,July,13.5456
8466,Standard Class,Consumer,Manila,Philippines,Office Supplies,Labels,entre 3 y 4,0.45,High,June,5.020714285714286
8467,Standard Class,Consumer,Manila,Philippines,Office Supplies,Art,entre 1 y 2,0.45,Medium,December,17.248
8468,Standard Class,Corporate,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,February,8.040000000000001
8469,Second Class,Home Office,Lagos,Nigeria,Office Supplies,Binders,entre 1 y 2,0.7,Critical,July,3.264
8470,Standard Class,Corporate,Kinshasa,Democratic Republic of the Congo,Office Supplies,Labels,entre 1 y 2,0.0,Medium,August,8.76
8471,Standard Class,Consumer,Berlin,Germany,Office Supplies,Paper,entre 5 y 6,0.1,Medium,April,18.40909090909091
8472,Standard Class,Home Office,Bangkok,Thailand,Office Supplies,Storage,entre 1 y 2,0.47,Medium,May,7.632000000000001
8473,Standard Class,Corporate,Surabaya,Indonesia,Office Supplies,Labels,entre 3 y 4,0.47,Low,August,3.025542857142857
8474,Second Class,Consumer,Lagos,Nigeria,Office Supplies,Binders,entre 1 y 2,0.7,High,January,3.132
8475,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Binders,entre 1 y 2,0.7,High,June,5.466
8476,Standard Class,Consumer,Istanbul,Turkey,Office Supplies,Labels,entre 1 y 2,0.6,Medium,December,4.816
8477,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Paper,entre 1 y 2,0.7,Medium,December,8.232000000000001
8478,First Class,Consumer,Mexico City,Mexico,Office Supplies,Envelopes,entre 1 y 2,0.0,High,May,8.799999999999999
8479,Same Day,Consumer,Mixco,Guatemala,Office Supplies,Storage,entre 1 y 2,0.0,High,September,8.746666666666666
8480,Standard Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Envelopes,entre 3 y 4,0.4,Medium,July,2.9211428571428573
8481,Standard Class,Home Office,San Pedro Sula,Honduras,Office Supplies,Binders,entre 3 y 4,0.4,Medium,November,7.611428571428571
8482,Standard Class,Corporate,Mixco,Guatemala,Office Supplies,Binders,entre 3 y 4,0.0,Medium,March,3.8057142857142856
8483,Standard Class,Corporate,San Miguelito,Panama,Office Supplies,Binders,entre 5 y 6,0.4,Medium,February,1.7410909090909092
8484,Standard Class,Home Office,Stockholm,Sweden,Office Supplies,Envelopes,entre 1 y 2,0.5,Medium,August,9.47
8485,First Class,Corporate,Lagos,Nigeria,Technology,Accessories,entre 1 y 2,0.7,Medium,February,8.142
8486,Standard Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Labels,entre 1 y 2,0.4,Medium,November,6.047999999999999
8487,Standard Class,Consumer,Mexico City,Mexico,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,November,9.733333333333333
8488,Standard Class,Corporate,Mexico City,Mexico,Office Supplies,Binders,entre 3 y 4,0.0,Medium,March,4.782857142857142
8489,Standard Class,Home Office,Mexico City,Mexico,Office Supplies,Binders,entre 1 y 2,0.0,Medium,December,8.959999999999999
8490,First Class,Consumer,Madrid,Spain,Office Supplies,Storage,entre 5 y 6,0.1,Medium,March,18.998181818181816
8491,Standard Class,Home Office,Jakarta,Indonesia,Office Supplies,Binders,entre 1 y 2,0.17,Medium,June,5.0132
8492,Standard Class,Consumer,Perth,Australia,Office Supplies,Envelopes,entre 1 y 2,0.1,Medium,April,12.006
8493,Second Class,Consumer,Manila,Philippines,Office Supplies,Fasteners,entre 1 y 2,0.45,High,January,4.0040000000000004
8494,Standard Class,Corporate,Gold Coast,Australia,Office Supplies,Fasteners,entre 1 y 2,0.4,Medium,December,7.4639999999999995
8495,Second Class,Consumer,Canberra,Australia,Office Supplies,Binders,entre 1 y 2,0.0,Medium,June,4.3
8496,Second Class,Corporate,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,November,5.94
8497,Standard Class,Home Office,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Medium,September,5.32
8498,First Class,Home Office,Lagos,Nigeria,Office Supplies,Art,entre 1 y 2,0.7,Critical,June,11.688
8499,Standard Class,Corporate,Istanbul,Turkey,Office Supplies,Storage,entre 1 y 2,0.6,Low,July,6.143999999999999
8500,Standard Class,Corporate,Santiago de Cuba,Cuba,Office Supplies,Storage,entre 1 y 2,0.0,Medium,May,27.0
8501,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Binders,entre 3 y 4,0.0,Medium,November,3.891428571428571
8502,Standard Class,Home Office,Berlin,Germany,Office Supplies,Envelopes,entre 1 y 2,0.1,Medium,November,10.404
8503,Standard Class,Consumer,Yangon,Myanmar (Burma),Office Supplies,Binders,entre 1 y 2,0.17,Medium,November,7.752199999999999
8504,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Envelopes,entre 1 y 2,0.47,Medium,November,9.3598
8505,Standard Class,Consumer,San Miguelito,Panama,Office Supplies,Fasteners,entre 1 y 2,0.4,Medium,August,7.248
8506,Standard Class,Home Office,San Pedro Sula,Honduras,Office Supplies,Paper,entre 1 y 2,0.4,Medium,November,11.616
8507,Second Class,Consumer,San Salvador,El Salvador,Office Supplies,Art,entre 1 y 2,0.0,High,May,4.933333333333334
8508,First Class,Consumer,São Paulo,Brazil,Office Supplies,Binders,entre 1 y 2,0.0,Medium,May,10.986666666666666
8509,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Labels,entre 3 y 4,0.0,Medium,August,3.48
8510,Standard Class,Consumer,Berlin,Germany,Office Supplies,Labels,entre 1 y 2,0.1,Medium,May,5.562
8511,Second Class,Corporate,Bangkok,Thailand,Office Supplies,Supplies,entre 1 y 2,0.47,Medium,December,7.8228
8512,Standard Class,Corporate,Jakarta,Indonesia,Office Supplies,Fasteners,entre 3 y 4,0.47,Medium,March,8.504228571428571
8513,Standard Class,Consumer,Buenos Aires,Argentina,Office Supplies,Envelopes,entre 3 y 4,0.4,Medium,June,6.860571428571428
8514,Standard Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Labels,entre 5 y 6,0.4,Medium,March,3.3709090909090906
8515,Standard Class,Home Office,Managua,Nicaragua,Office Supplies,Binders,entre 3 y 4,0.0,Medium,October,2.52
8516,Standard Class,Home Office,Madrid,Spain,Office Supplies,Fasteners,entre 3 y 4,0.0,Medium,June,12.617142857142856
8517,Standard Class,Consumer,Rome,Italy,Office Supplies,Storage,entre 1 y 2,0.4,Medium,August,10.572000000000001
8518,Standard Class,Consumer,Singapore,Singapore,Office Supplies,Labels,entre 1 y 2,0.0,Medium,October,6.2
8519,Same Day,Corporate,Brisbane,Australia,Office Supplies,Labels,entre 1 y 2,0.1,High,November,10.08
8520,Standard Class,Consumer,Casablanca,Morocco,Office Supplies,Binders,entre 1 y 2,0.0,Medium,June,11.44
8521,First Class,Home Office,Cairo,Egypt,Office Supplies,Storage,entre 1 y 2,0.0,High,December,11.04
8522,Standard Class,Corporate,London,Canada,Office Supplies,Storage,entre 1 y 2,0.0,Medium,September,11.32
8523,Second Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Supplies,entre 3 y 4,0.4,Medium,June,4.597714285714285
8524,Same Day,Consumer,Buenos Aires,Argentina,Office Supplies,Binders,entre 1 y 2,0.7,Medium,October,4.128
8525,Standard Class,Consumer,Villa Nueva,Guatemala,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,December,7.173333333333333
8526,Second Class,Consumer,Rome,Italy,Office Supplies,Labels,entre 3 y 4,0.0,Medium,July,7.405714285714287
8527,Standard Class,Consumer,Paris,France,Office Supplies,Labels,entre 1 y 2,0.0,Low,September,6.579999999999999
8528,Second Class,Consumer,Stockholm,Sweden,Office Supplies,Envelopes,entre 1 y 2,0.5,Medium,December,8.700000000000001
8529,Second Class,Consumer,Manila,Philippines,Office Supplies,Art,entre 1 y 2,0.45,Medium,December,18.150000000000002
8530,Second Class,Corporate,Canberra,Australia,Office Supplies,Supplies,entre 1 y 2,0.4,Medium,February,21.648
8531,Standard Class,Consumer,Bangkok,Thailand,Office Supplies,Paper,entre 3 y 4,0.47,Medium,December,6.078342857142857
8532,Standard Class,Consumer,Lagos,Nigeria,Technology,Machines,entre 1 y 2,0.7,Medium,September,7.6739999999999995
8533,Standard Class,Corporate,San Salvador,El Salvador,Office Supplies,Binders,entre 3 y 4,0.0,Medium,November,6.5371428571428565
8534,Standard Class,Corporate,Managua,Nicaragua,Office Supplies,Labels,entre 1 y 2,0.0,High,December,5.04
8535,Standard Class,Consumer,San Pedro Sula,Honduras,Office Supplies,Binders,entre 5 y 6,0.4,Medium,October,2.4436363636363634
8536,Standard Class,Home Office,San Pedro Sula,Honduras,Furniture,Chairs,entre 1 y 2,0.4,Medium,November,26.768
8537,Standard Class,Corporate,Panama City,Panama,Office Supplies,Paper,entre 1 y 2,0.4,Low,June,13.44
8538,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Binders,entre 3 y 4,0.0,Medium,October,3.822857142857143
8539,Standard Class,Consumer,Sydney,Australia,Office Supplies,Binders,entre 1 y 2,0.1,Medium,February,7.812
8540,Second Class,Corporate,Manila,Philippines,Office Supplies,Labels,entre 1 y 2,0.45,Medium,May,7.986
8541,Standard Class,Corporate,Adelaide,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Medium,September,10.08
8542,Standard Class,Home Office,Istanbul,Turkey,Office Supplies,Art,entre 1 y 2,0.6,Low,November,3.92
8543,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,High,September,4.3
8544,Standard Class,Corporate,Kinshasa,Democratic Republic of the Congo,Office Supplies,Envelopes,entre 1 y 2,0.0,High,November,24.64
8545,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Fasteners,entre 1 y 2,0.7,High,April,3.204
8546,Standard Class,Consumer,Lagos,Nigeria,Office Supplies,Art,entre 1 y 2,0.7,Medium,August,5.922
8547,Standard Class,Corporate,Managua,Nicaragua,Office Supplies,Art,entre 1 y 2,0.0,High,October,6.44
8548,Second Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Labels,entre 1 y 2,0.4,Medium,September,6.128
8549,Standard Class,Home Office,Santo Domingo,Dominican Republic,Office Supplies,Labels,entre 1 y 2,0.2,Medium,March,7.359999999999999
8550,Standard Class,Consumer,Buenos Aires,Argentina,Office Supplies,Fasteners,entre 1 y 2,0.4,Medium,December,8.304
8551,Second Class,Consumer,Santo Domingo,Dominican Republic,Office Supplies,Binders,entre 1 y 2,0.2,High,September,3.2213333333333334
8552,Standard Class,Home Office,Yangon,Myanmar (Burma),Office Supplies,Fasteners,entre 1 y 2,0.17,Medium,November,7.7854
8553,Standard Class,Consumer,Manila,Philippines,Office Supplies,Binders,entre 1 y 2,0.15,Medium,August,8.16
8554,Standard Class,Home Office,Sydney,Australia,Office Supplies,Fasteners,entre 1 y 2,0.1,High,April,8.459999999999999
8555,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Labels,entre 3 y 4,0.47,Medium,October,4.879028571428571
8556,Standard Class,Consumer,Cairo,Egypt,Office Supplies,Labels,entre 1 y 2,0.0,Medium,October,8.959999999999999
8557,Standard Class,Consumer,Kinshasa,Democratic Republic of the Congo,Office Supplies,Storage,entre 1 y 2,0.0,Medium,February,7.2
8558,Standard Class,Consumer,Baghdad,Iraq,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,March,14.06
8559,Standard Class,Home Office,Lagos,Nigeria,Office Supplies,Fasteners,entre 1 y 2,0.7,Medium,June,6.672
8560,Standard Class,Consumer,Tegucigalpa,Honduras,Office Supplies,Fasteners,entre 1 y 2,0.4,Low,November,3.0399999999999996
8561,Second Class,Consumer,Tegucigalpa,Honduras,Furniture,Furnishings,entre 3 y 4,0.4,Medium,June,9.202285714285713
8562,Standard Class,Corporate,San Pedro Sula,Honduras,Office Supplies,Labels,entre 3 y 4,0.4,Medium,October,3.5177142857142853
8563,Standard Class,Consumer,Jakarta,Indonesia,Office Supplies,Binders,entre 1 y 2,0.17,Medium,November,8.897599999999999
8564,Standard Class,Home Office,Cairo,Egypt,Office Supplies,Binders,entre 1 y 2,0.0,Low,July,4.0200000000000005
8565,Second Class,Corporate,Istanbul,Turkey,Office Supplies,Storage,entre 1 y 2,0.6,Medium,April,35.768
8566,Second Class,Home Office,Istanbul,Turkey,Office Supplies,Paper,entre 1 y 2,0.6,Medium,January,4.832
8567,Standard Class,Home Office,Tegucigalpa,Honduras,Office Supplies,Storage,entre 1 y 2,0.4,High,November,6.192
8568,Second Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Binders,entre 5 y 6,0.4,Medium,December,2.890909090909091
8569,Standard Class,Corporate,Adelaide,Australia,Office Supplies,Labels,entre 1 y 2,0.1,Medium,January,10.62
8570,Standard Class,Home Office,Bangkok,Thailand,Office Supplies,Paper,entre 1 y 2,0.47,Medium,March,5.936
8571,Standard Class,Consumer,Istanbul,Turkey,Office Supplies,Binders,entre 1 y 2,0.6,Medium,December,8.176
8572,Second Class,Corporate,Tegucigalpa,Honduras,Office Supplies,Binders,entre 3 y 4,0.4,Medium,October,2.0262857142857142
8573,First Class,Home Office,San Pedro Sula,Honduras,Office Supplies,Labels,entre 1 y 2,0.4,Critical,April,1.728
