,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
3592,Standard Class,Corporate,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,March,7.973333333333334
3593,Standard Class,Consumer,New York City,Office Supplies,Art,entre 5 y 6,0.0,Low,March,2.0090909090909093
3594,Standard Class,Consumer,Philadelphia,Furniture,Furnishings,entre 1 y 2,0.2,Medium,July,21.322666666666667
3595,Standard Class,Corporate,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,High,June,3.209142857142857
3596,Standard Class,Consumer,New York City,Technology,Accessories,entre 3 y 4,0.0,High,November,2.2514285714285713
3597,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,June,9.306666666666667
3598,First Class,Corporate,Los Angeles,Office Supplies,Labels,entre 1 y 2,0.0,Medium,December,9.746666666666666
3599,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 3 y 4,0.2,Medium,June,5.286857142857143
3600,First Class,Corporate,Columbus,Office Supplies,Paper,entre 3 y 4,0.0,Medium,December,9.72
3601,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 1 y 2,0.2,High,August,4.245333333333334
3602,Standard Class,Consumer,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,Medium,May,4.169142857142857
3603,Standard Class,Consumer,Chicago,Office Supplies,Envelopes,entre 1 y 2,0.2,Medium,June,9.322666666666667
3604,Standard Class,Corporate,San Francisco,Office Supplies,Envelopes,entre 3 y 4,0.0,Medium,September,3.1028571428571428
3605,Second Class,Home Office,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,High,March,4.32
3606,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,July,14.82
3607,Standard Class,Home Office,Chicago,Office Supplies,Binders,entre 9 y 10,0.8,Medium,October,2.8837894736842107
3608,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 5 y 6,0.2,Medium,November,3.9490909090909088
3609,Standard Class,Consumer,Chicago,Office Supplies,Appliances,entre 3 y 4,0.8,Medium,May,7.5445714285714285
3610,Second Class,Consumer,Chicago,Office Supplies,Art,entre 3 y 4,0.2,High,July,1.9748571428571429
3611,Standard Class,Corporate,Philadelphia,Office Supplies,Paper,entre 3 y 4,0.2,High,October,2.870857142857143
3612,Standard Class,Consumer,Houston,Office Supplies,Paper,entre 1 y 2,0.2,High,April,5.312
3613,Standard Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,May,9.706666666666667
3614,Same Day,Consumer,Seattle,Office Supplies,Labels,entre 3 y 4,0.0,Medium,May,10.74
3615,Standard Class,Corporate,New York City,Office Supplies,Art,entre 5 y 6,0.0,High,June,1.5272727272727273
3616,Same Day,Consumer,Houston,Furniture,Furnishings,entre 1 y 2,0.6,High,August,13.402666666666667
3617,Standard Class,Corporate,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Low,August,8.64
3618,Second Class,Consumer,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,Medium,July,8.64
3619,Standard Class,Home Office,Dallas,Office Supplies,Storage,entre 1 y 2,0.2,Medium,October,37.077333333333335
3620,Standard Class,Consumer,New York City,Office Supplies,Art,entre 3 y 4,0.0,Medium,September,3.7257142857142855
3621,Second Class,Corporate,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,Medium,February,14.043636363636363
3622,Standard Class,Consumer,Los Angeles,Office Supplies,Fasteners,entre 3 y 4,0.0,Medium,December,4.285714285714286
3623,First Class,Consumer,Seattle,Office Supplies,Paper,entre 3 y 4,0.0,Medium,March,5.725714285714285
3624,Standard Class,Corporate,San Diego,Office Supplies,Binders,entre 5 y 6,0.2,Medium,July,5.418181818181818
3625,Standard Class,Consumer,Springfield,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,September,11.04
3626,Second Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Medium,November,8.64
3627,Standard Class,Home Office,Philadelphia,Office Supplies,Fasteners,entre 5 y 6,0.2,High,June,1.754181818181818
3628,Second Class,Corporate,Philadelphia,Office Supplies,Art,entre 3 y 4,0.2,Medium,April,5.101714285714286
3629,First Class,Corporate,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,Medium,June,11.413333333333334
3630,Standard Class,Consumer,Philadelphia,Office Supplies,Fasteners,entre 7 y 8,0.2,Medium,November,1.4112
3631,Second Class,Consumer,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,June,8.427272727272728
3632,First Class,Home Office,Philadelphia,Office Supplies,Paper,entre 3 y 4,0.2,High,September,3.2434285714285713
3633,Standard Class,Home Office,Philadelphia,Office Supplies,Binders,entre 5 y 6,0.7,Low,July,1.7127272727272727
3634,Standard Class,Consumer,Seattle,Office Supplies,Art,entre 3 y 4,0.0,Medium,September,3.5485714285714285
3635,Standard Class,Home Office,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,High,February,8.64
3636,First Class,Corporate,Columbus,Office Supplies,Fasteners,entre 5 y 6,0.2,Medium,May,1.4618181818181817
3637,Standard Class,Corporate,Philadelphia,Office Supplies,Art,entre 7 y 8,0.2,Medium,December,2.493866666666667
3638,Same Day,Consumer,Dallas,Office Supplies,Art,entre 1 y 2,0.2,High,March,2.9653333333333336
3639,Standard Class,Corporate,San Francisco,Office Supplies,Paper,entre 1 y 2,0.0,High,September,8.64
3640,Standard Class,Consumer,New York City,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,November,10.373333333333333
3641,Standard Class,Consumer,Chicago,Furniture,Furnishings,entre 1 y 2,0.6,High,November,7.322666666666667
3642,Standard Class,Corporate,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,July,3.750857142857143
3643,First Class,Home Office,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,June,2.494285714285714
3644,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 3 y 4,0.0,Medium,December,5.982857142857143
3645,Standard Class,Home Office,Springfield,Office Supplies,Paper,entre 3 y 4,0.2,Medium,November,6.356571428571429
3646,Standard Class,Consumer,Columbus,Office Supplies,Supplies,entre 1 y 2,0.2,Medium,December,9.141333333333334
3647,Second Class,Consumer,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,High,March,5.696000000000001
3648,Standard Class,Consumer,Seattle,Office Supplies,Storage,entre 1 y 2,0.0,Medium,June,10.386666666666667
3649,Standard Class,Consumer,New York City,Office Supplies,Fasteners,entre 3 y 4,0.0,Low,December,3.988571428571429
3650,Standard Class,Corporate,Los Angeles,Office Supplies,Labels,entre 3 y 4,0.0,High,July,2.4771428571428573
3651,Second Class,Consumer,Columbus,Office Supplies,Fasteners,entre 5 y 6,0.2,Medium,March,1.9025454545454545
3652,Second Class,Home Office,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,September,4.46
3653,Second Class,Home Office,Chicago,Office Supplies,Art,entre 3 y 4,0.2,Medium,October,2.016
3654,First Class,Consumer,Columbus,Furniture,Furnishings,entre 3 y 4,0.2,High,September,1.5291428571428571
3655,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,3.209142857142857
3656,Second Class,Home Office,Houston,Office Supplies,Art,entre 7 y 8,0.2,Medium,June,1.5018666666666667
3657,Standard Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 3 y 4,0.2,Medium,April,9.57942857142857
3658,First Class,Consumer,Chicago,Office Supplies,Binders,entre 1 y 2,0.8,High,September,10.053333333333333
3659,Standard Class,Consumer,Houston,Office Supplies,Appliances,entre 5 y 6,0.8,Medium,May,3.330909090909091
3660,First Class,Corporate,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,November,8.622857142857143
3661,Second Class,Home Office,Houston,Furniture,Furnishings,entre 1 y 2,0.6,Medium,June,4.656
3662,Standard Class,Consumer,Dallas,Office Supplies,Storage,entre 1 y 2,0.2,Medium,November,12.106666666666667
3663,First Class,Consumer,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,December,5.890909090909091
3664,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,5.696
3665,Second Class,Home Office,Houston,Office Supplies,Binders,entre 7 y 8,0.8,Medium,September,1.1477333333333335
3666,First Class,Corporate,Houston,Furniture,Furnishings,entre 3 y 4,0.6,Medium,December,2.7737142857142856
3667,Standard Class,Corporate,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,High,July,2.8525714285714288
3668,Standard Class,Consumer,San Francisco,Office Supplies,Art,entre 3 y 4,0.0,High,January,2.382857142857143
3669,Standard Class,Home Office,Seattle,Technology,Accessories,entre 1 y 2,0.0,High,November,9.32
3670,Standard Class,Home Office,Los Angeles,Office Supplies,Art,entre 7 y 8,0.0,Medium,November,2.594666666666667
3671,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,5.1085714285714285
3672,Same Day,Consumer,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,High,September,8.64
3673,Standard Class,Consumer,San Francisco,Office Supplies,Art,entre 5 y 6,0.0,Medium,January,4.3999999999999995
3674,Standard Class,Consumer,Philadelphia,Office Supplies,Appliances,entre 1 y 2,0.2,Medium,June,29.610666666666663
3675,Standard Class,Home Office,Seattle,Office Supplies,Fasteners,entre 3 y 4,0.0,High,October,2.5542857142857143
3676,Standard Class,Home Office,Houston,Office Supplies,Envelopes,entre 1 y 2,0.2,Medium,July,13.957333333333333
3677,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,High,December,9.968
3678,Standard Class,Consumer,Chicago,Office Supplies,Labels,entre 3 y 4,0.2,Medium,July,2.642285714285714
3679,First Class,Corporate,Houston,Office Supplies,Paper,entre 3 y 4,0.2,Medium,April,5.924571428571428
3680,Second Class,Home Office,Los Angeles,Office Supplies,Labels,entre 3 y 4,0.0,High,December,3.302857142857143
3681,Standard Class,Consumer,New York City,Office Supplies,Labels,entre 3 y 4,0.0,Medium,May,12.685714285714285
3682,Standard Class,Consumer,Houston,Office Supplies,Binders,entre 5 y 6,0.8,High,April,1.754181818181818
3683,Second Class,Consumer,New York City,Office Supplies,Labels,entre 3 y 4,0.0,Medium,July,2.237142857142857
3684,Second Class,Consumer,Seattle,Office Supplies,Binders,entre 3 y 4,0.2,Medium,July,3.661714285714286
3685,Standard Class,Consumer,Columbus,Office Supplies,Paper,entre 1 y 2,0.2,High,July,6.165333333333333
3686,Standard Class,Consumer,Houston,Technology,Phones,entre 1 y 2,0.2,Medium,May,12.757333333333333
3687,Standard Class,Home Office,Dallas,Technology,Accessories,entre 5 y 6,0.2,Medium,March,5.083636363636364
3688,Standard Class,Corporate,New York City,Furniture,Furnishings,entre 1 y 2,0.0,Medium,May,8.373333333333333
3689,Standard Class,Consumer,Seattle,Furniture,Furnishings,entre 1 y 2,0.0,Medium,August,8.233333333333333
3690,First Class,Consumer,Los Angeles,Office Supplies,Art,entre 3 y 4,0.0,Medium,December,1.8942857142857144
3691,Standard Class,Consumer,Chicago,Office Supplies,Art,entre 3 y 4,0.2,Low,March,3.826285714285714
3692,Standard Class,Home Office,Philadelphia,Technology,Phones,entre 5 y 6,0.4,Medium,April,2.6999999999999997
3693,Standard Class,Consumer,Seattle,Office Supplies,Labels,entre 3 y 4,0.0,Medium,November,2.468571428571429
3694,Standard Class,Corporate,San Diego,Office Supplies,Binders,entre 3 y 4,0.2,Medium,October,10.388571428571428
3695,Standard Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,November,9.154285714285715
3696,Second Class,Consumer,New York City,Office Supplies,Storage,entre 3 y 4,0.0,High,December,63.300000000000004
3697,Standard Class,Consumer,New York City,Office Supplies,Art,entre 3 y 4,0.0,Medium,April,4.868571428571428
3698,Standard Class,Corporate,New York City,Office Supplies,Art,entre 5 y 6,0.0,Medium,June,2.6727272727272724
3699,Standard Class,Corporate,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,November,4.234285714285714
3700,Second Class,Consumer,New York City,Office Supplies,Labels,entre 5 y 6,0.0,Medium,March,3.409090909090909
3701,Standard Class,Consumer,Seattle,Office Supplies,Labels,entre 3 y 4,0.0,Medium,October,8.354285714285714
3702,Second Class,Corporate,Chicago,Office Supplies,Supplies,entre 3 y 4,0.2,Medium,December,5.876571428571429
3703,Standard Class,Consumer,Columbus,Office Supplies,Art,entre 5 y 6,0.2,High,July,2.3854545454545453
3704,First Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Critical,July,1.5085714285714287
3705,Standard Class,Consumer,Los Angeles,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,November,10.186666666666666
3706,Standard Class,Consumer,New York City,Office Supplies,Fasteners,entre 3 y 4,0.0,Low,February,2.4914285714285715
3707,Standard Class,Consumer,Columbus,Furniture,Furnishings,entre 1 y 2,0.0,High,July,15.993333333333332
3708,Second Class,Consumer,Columbus,Furniture,Furnishings,entre 3 y 4,0.0,High,July,5.382857142857143
3709,Standard Class,Home Office,Columbus,Furniture,Furnishings,entre 3 y 4,0.2,Medium,April,6.381714285714286
3710,First Class,Corporate,Seattle,Office Supplies,Appliances,entre 1 y 2,0.0,Critical,October,2.5933333333333333
3711,First Class,Corporate,New York City,Office Supplies,Art,entre 5 y 6,0.0,Critical,March,1.9090909090909092
3712,Standard Class,Consumer,Chicago,Office Supplies,Art,entre 1 y 2,0.2,Medium,April,10.506666666666666
3713,Standard Class,Corporate,San Francisco,Office Supplies,Binders,entre 1 y 2,0.2,High,July,5.141333333333333
3714,Standard Class,Home Office,Philadelphia,Office Supplies,Paper,entre 3 y 4,0.2,High,June,4.443428571428571
3715,Standard Class,Corporate,Philadelphia,Office Supplies,Art,entre 3 y 4,0.2,Medium,December,3.826285714285714
3716,Standard Class,Consumer,Chicago,Office Supplies,Art,entre 3 y 4,0.2,Medium,May,3.826285714285714
3717,Standard Class,Corporate,San Francisco,Furniture,Furnishings,entre 5 y 6,0.0,Medium,October,2.9127272727272726
3718,Same Day,Consumer,Columbus,Office Supplies,Binders,entre 3 y 4,0.7,High,March,1.4837142857142855
3719,Standard Class,Consumer,Los Angeles,Office Supplies,Art,entre 7 y 8,0.0,Medium,November,4.565333333333333
3720,Second Class,Consumer,Springfield,Office Supplies,Paper,entre 5 y 6,0.0,Medium,September,4.527272727272727
3721,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,April,3.0788571428571427
3722,Standard Class,Home Office,Los Angeles,Office Supplies,Binders,entre 5 y 6,0.2,Medium,August,2.770909090909091
3723,Second Class,Consumer,Springfield,Office Supplies,Art,entre 1 y 2,0.0,High,March,3.7066666666666666
3724,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,Medium,July,3.3236363636363637
3725,Standard Class,Corporate,Philadelphia,Office Supplies,Paper,entre 1 y 2,0.2,High,August,6.912
3726,Standard Class,Consumer,New York City,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,June,4.445714285714286
3727,Standard Class,Home Office,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,August,7.405714285714287
3728,Standard Class,Corporate,Philadelphia,Office Supplies,Binders,entre 3 y 4,0.7,Low,May,3.9702857142857146
3729,Second Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,February,8.906666666666666
3730,Standard Class,Consumer,Columbus,Office Supplies,Art,entre 3 y 4,0.0,Medium,April,3.6685714285714286
3731,Standard Class,Corporate,Seattle,Office Supplies,Art,entre 1 y 2,0.0,Medium,March,15.4
3732,Standard Class,Consumer,Seattle,Office Supplies,Paper,entre 1 y 2,0.0,Medium,May,7.973333333333334
3733,Standard Class,Consumer,Chicago,Furniture,Furnishings,entre 5 y 6,0.6,Medium,April,2.6472727272727274
3734,Standard Class,Consumer,Philadelphia,Technology,Phones,entre 1 y 2,0.4,Medium,July,8.996
3735,Standard Class,Consumer,San Francisco,Office Supplies,Fasteners,entre 7 y 8,0.0,Medium,January,1.5786666666666667
3736,Standard Class,Corporate,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,May,7.239999999999999
3737,Standard Class,Home Office,Columbus,Office Supplies,Storage,entre 1 y 2,0.0,Medium,June,16.37333333333333
3738,Second Class,Consumer,New York City,Furniture,Furnishings,entre 1 y 2,0.0,High,July,4.92
3739,Standard Class,Consumer,Houston,Office Supplies,Binders,entre 3 y 4,0.8,Medium,April,3.478857142857143
3740,Standard Class,Home Office,New York City,Technology,Phones,entre 1 y 2,0.0,High,March,6.66
3741,Second Class,Corporate,New York City,Technology,Accessories,entre 1 y 2,0.0,Medium,March,10.013333333333334
3742,Standard Class,Corporate,Houston,Furniture,Furnishings,entre 3 y 4,0.6,Low,November,2.019428571428571
3743,Second Class,Consumer,Philadelphia,Technology,Phones,entre 1 y 2,0.4,Medium,July,26.396
3744,Standard Class,Consumer,Columbus,Office Supplies,Paper,entre 1 y 2,0.0,Low,May,5.32
3745,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,September,4.268571428571429
3746,First Class,Consumer,Chicago,Office Supplies,Art,entre 3 y 4,0.2,High,June,1.4994285714285716
3747,Standard Class,Consumer,San Francisco,Office Supplies,Paper,entre 3 y 4,0.0,Medium,December,3.6685714285714286
3748,Standard Class,Consumer,Chicago,Office Supplies,Paper,entre 3 y 4,0.2,Medium,September,5.924571428571428
3749,Standard Class,Home Office,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,Medium,December,4.354285714285714
3750,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,7.090285714285714
3751,Standard Class,Consumer,Los Angeles,Office Supplies,Binders,entre 5 y 6,0.2,Medium,April,3.0036363636363634
3752,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,June,5.4399999999999995
3753,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 5 y 6,0.0,Medium,September,2.709090909090909
3754,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Medium,December,9.746666666666666
3755,First Class,Corporate,New York City,Office Supplies,Art,entre 1 y 2,0.0,Medium,July,3.84
3756,Standard Class,Home Office,Philadelphia,Office Supplies,Art,entre 7 y 8,0.2,Medium,July,1.5018666666666667
3757,Standard Class,Consumer,San Diego,Office Supplies,Supplies,entre 3 y 4,0.0,Medium,August,9.411428571428571
3758,Standard Class,Consumer,Los Angeles,Furniture,Furnishings,entre 3 y 4,0.0,Medium,April,7.174285714285714
3759,Standard Class,Consumer,Philadelphia,Office Supplies,Paper,entre 3 y 4,0.2,Medium,March,4.443428571428571
3760,Standard Class,Consumer,Los Angeles,Office Supplies,Fasteners,entre 1 y 2,0.0,High,April,7.746666666666666
3761,First Class,Corporate,San Diego,Office Supplies,Envelopes,entre 1 y 2,0.0,High,September,2.72
3762,Standard Class,Corporate,San Diego,Office Supplies,Binders,entre 1 y 2,0.2,Medium,February,20.64
3763,Standard Class,Home Office,New York City,Office Supplies,Binders,entre 1 y 2,0.2,Medium,February,7.264
3764,Standard Class,Consumer,Chicago,Office Supplies,Art,entre 1 y 2,0.2,High,October,3.562666666666667
3765,Standard Class,Consumer,Seattle,Office Supplies,Labels,entre 3 y 4,0.0,Medium,June,3.302857142857143
3766,Standard Class,Corporate,Philadelphia,Technology,Phones,entre 5 y 6,0.4,Medium,October,5.945454545454546
3767,Standard Class,Consumer,New York City,Technology,Phones,entre 1 y 2,0.0,Medium,November,9.32
3768,First Class,Consumer,Seattle,Office Supplies,Labels,entre 1 y 2,0.0,Critical,December,1.74
3769,Standard Class,Home Office,Philadelphia,Furniture,Furnishings,entre 5 y 6,0.2,High,June,9.285818181818183
3770,Same Day,Corporate,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,Critical,September,4.789333333333333
3771,First Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,December,8.64
3772,Standard Class,Consumer,New York City,Office Supplies,Labels,entre 3 y 4,0.0,Medium,September,3.6
3773,First Class,Consumer,Dallas,Office Supplies,Art,entre 1 y 2,0.2,Medium,August,3.968
3774,Standard Class,Home Office,Houston,Office Supplies,Paper,entre 3 y 4,0.2,Medium,March,2.934857142857143
3775,Second Class,Consumer,Columbus,Furniture,Furnishings,entre 1 y 2,0.2,Medium,December,5.418666666666667
3776,Standard Class,Consumer,Chicago,Office Supplies,Labels,entre 5 y 6,0.2,Medium,November,2.0945454545454543
3777,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,January,12.906666666666666
3778,Standard Class,Home Office,New York City,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,March,7.573333333333333
3779,Standard Class,Home Office,Springfield,Technology,Accessories,entre 1 y 2,0.0,Medium,August,14.133333333333333
3780,Second Class,Home Office,Chicago,Office Supplies,Binders,entre 1 y 2,0.8,Critical,October,5.788
3781,First Class,Home Office,Los Angeles,Technology,Phones,entre 1 y 2,0.2,Medium,June,11.68
3782,Standard Class,Consumer,Seattle,Office Supplies,Paper,entre 3 y 4,0.0,Medium,October,5.125714285714286
3783,Standard Class,Consumer,New York City,Office Supplies,Fasteners,entre 7 y 8,0.0,Medium,October,5.422666666666667
3784,Second Class,Consumer,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,Critical,September,3.1679999999999997
3785,Standard Class,Home Office,Columbus,Office Supplies,Paper,entre 1 y 2,0.0,Medium,May,12.906666666666666
3786,Standard Class,Home Office,Columbus,Office Supplies,Binders,entre 7 y 8,0.7,Medium,December,1.7276
3787,Second Class,Consumer,Dallas,Office Supplies,Paper,entre 1 y 2,0.2,Medium,March,4.565333333333333
3788,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Medium,March,8.986666666666666
3789,Second Class,Home Office,San Francisco,Office Supplies,Binders,entre 3 y 4,0.2,Medium,September,3.414857142857143
3790,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,December,11.433333333333332
3791,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,May,2.8545454545454545
3792,Standard Class,Consumer,New York City,Office Supplies,Storage,entre 1 y 2,0.0,Medium,November,7.473333333333334
3793,Second Class,Consumer,Chicago,Furniture,Furnishings,entre 3 y 4,0.6,High,June,2.5302857142857142
3794,First Class,Corporate,Philadelphia,Office Supplies,Labels,entre 3 y 4,0.2,Medium,September,4.553142857142857
3795,Standard Class,Consumer,Dallas,Office Supplies,Appliances,entre 1 y 2,0.8,High,February,5.306666666666667
3796,First Class,Consumer,San Diego,Office Supplies,Fasteners,entre 1 y 2,0.0,Medium,December,5.24
3797,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,High,November,7.973333333333334
3798,Standard Class,Consumer,Philadelphia,Office Supplies,Binders,entre 5 y 6,0.7,High,September,1.7372727272727273
3799,Standard Class,Consumer,San Francisco,Furniture,Furnishings,entre 3 y 4,0.0,Medium,June,6.325714285714286
3800,Standard Class,Corporate,New York City,Office Supplies,Binders,entre 1 y 2,0.2,Medium,November,13.578666666666665
3801,Standard Class,Consumer,Los Angeles,Technology,Phones,entre 3 y 4,0.2,Medium,November,16.448
3802,Standard Class,Home Office,Los Angeles,Office Supplies,Paper,entre 5 y 6,0.0,Medium,November,3.8909090909090907
3803,Second Class,Home Office,Los Angeles,Office Supplies,Appliances,entre 1 y 2,0.0,High,November,5.1866666666666665
3804,Same Day,Home Office,Philadelphia,Office Supplies,Binders,entre 3 y 4,0.7,Critical,September,1.3834285714285712
3805,Standard Class,Corporate,Chicago,Office Supplies,Paper,entre 3 y 4,0.2,Medium,July,18.089142857142857
3806,Standard Class,Consumer,Seattle,Technology,Phones,entre 1 y 2,0.2,Medium,October,166.38933333333333
3807,Standard Class,Consumer,Houston,Office Supplies,Binders,entre 5 y 6,0.8,Medium,November,1.96
3808,Second Class,Consumer,Columbus,Furniture,Furnishings,entre 5 y 6,0.2,Medium,March,1.5127272727272727
3809,Standard Class,Home Office,Houston,Office Supplies,Binders,entre 5 y 6,0.8,Medium,March,2.5047272727272727
3810,Standard Class,Corporate,Los Angeles,Office Supplies,Art,entre 1 y 2,0.0,Medium,September,7.786666666666666
3811,Second Class,Home Office,New York City,Office Supplies,Art,entre 1 y 2,0.0,High,September,3.7066666666666666
3812,Second Class,Consumer,Seattle,Furniture,Furnishings,entre 3 y 4,0.0,Medium,July,3.5485714285714285
3813,Standard Class,Consumer,Chicago,Office Supplies,Envelopes,entre 1 y 2,0.2,High,May,4.714666666666667
3814,Second Class,Consumer,Columbus,Office Supplies,Envelopes,entre 1 y 2,0.2,High,August,3.1466666666666665
3815,Standard Class,Consumer,Los Angeles,Office Supplies,Labels,entre 1 y 2,0.0,Medium,June,13.799999999999999
3816,Second Class,Corporate,New York City,Office Supplies,Paper,entre 1 y 2,0.0,Medium,September,8.64
3817,Standard Class,Consumer,Houston,Office Supplies,Appliances,entre 1 y 2,0.8,Medium,February,8.661333333333333
3818,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 7 y 8,0.2,Medium,August,4.2784
3819,Standard Class,Home Office,New York City,Office Supplies,Binders,entre 3 y 4,0.2,Medium,December,3.072
3820,Standard Class,Consumer,New York City,Office Supplies,Paper,entre 3 y 4,0.0,Medium,November,3.8628571428571425
3821,Second Class,Corporate,Los Angeles,Office Supplies,Binders,entre 5 y 6,0.2,Medium,June,1.3672727272727272
3822,Standard Class,Home Office,Seattle,Office Supplies,Paper,entre 3 y 4,0.0,Medium,April,5.811428571428571
3823,Standard Class,Consumer,Philadelphia,Office Supplies,Paper,entre 1 y 2,0.2,Medium,May,6.912
3824,Standard Class,Home Office,New York City,Office Supplies,Envelopes,entre 1 y 2,0.0,Medium,April,11.32
3825,Standard Class,Consumer,San Diego,Office Supplies,Labels,entre 3 y 4,0.0,Medium,February,4.208571428571429
3826,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 1 y 2,0.2,Medium,October,6.485333333333333
3827,Standard Class,Home Office,New York City,Office Supplies,Paper,entre 1 y 2,0.0,High,December,4.32
3828,Standard Class,Consumer,Houston,Office Supplies,Fasteners,entre 3 y 4,0.2,Medium,November,3.0925714285714285
3829,First Class,Home Office,Philadelphia,Office Supplies,Fasteners,entre 1 y 2,0.2,Critical,November,2.112
3830,Second Class,Consumer,New York City,Office Supplies,Labels,entre 1 y 2,0.0,Medium,March,4.873333333333333
3831,Standard Class,Home Office,Los Angeles,Furniture,Furnishings,entre 5 y 6,0.0,Medium,November,3.6436363636363636
3832,Standard Class,Corporate,Los Angeles,Office Supplies,Art,entre 3 y 4,0.0,Medium,September,4.782857142857142
3833,Standard Class,Corporate,Seattle,Office Supplies,Binders,entre 1 y 2,0.2,Medium,November,9.269333333333334
3834,Standard Class,Consumer,Los Angeles,Office Supplies,Paper,entre 1 y 2,0.0,Medium,May,8.92
3835,Second Class,Corporate,Chicago,Office Supplies,Fasteners,entre 5 y 6,0.2,Medium,January,2.749090909090909
3836,Same Day,Home Office,Philadelphia,Office Supplies,Labels,entre 1 y 2,0.2,High,June,3.936
3837,Standard Class,Corporate,San Francisco,Office Supplies,Art,entre 3 y 4,0.0,Medium,September,2.52
3838,Second Class,Consumer,Los Angeles,Office Supplies,Labels,entre 1 y 2,0.0,Medium,December,6.640000000000001
3839,Standard Class,Corporate,Columbus,Office Supplies,Paper,entre 1 y 2,0.0,Medium,April,8.64
3840,Same Day,Consumer,San Francisco,Office Supplies,Binders,entre 1 y 2,0.2,High,August,4.405333333333333
